"","INSTNM","Total","crime"
"3980","Ross Medical Education Center-Ann Arbor",87,0
"3981","Taylortown School of Beauty Inc",146,0
"3982","Pike-Lincoln Technical Center",21,0
"3983","Pennsylvania Institute of Health and Technology",78,0
"3984","Bethel Seminary-San Diego",177,0
"3985","St Charles Community College",6563,0
"3986","Brandman University",7812,16
"3987","New College of Florida",859,1
"3988","Conservatory of Recording Arts and Sciences",541,0
"3989","Adrian's College of Beauty Turlock",119,0
"3990","California Career School",86,0
"3991","Rolf Institute of Structural Integration",88,0
"3992","Sunstate Academy",374,0
"3993","Elizabeth Grady School of Esthetics and Massage Therapy",255,0
"3994","Ross Medical Education Center-Port Huron",59,1
"3995","Capri Institute of Hair Design-Clifton",192,0
"3996","Raphael's School of Beauty Culture Inc-Alliance",161,0
"3997","Metro Technology Centers",1188,1
"3998","Daymar College-Bowling Green",288,0
"3999","Luna Community College",1356,2
"4000","Grabber School of Hair Design",145,0
"4001","Yeshivah Gedolah Rabbinical College",24,0
"4002","University of the District of Columbia-David A Clarke School of Law",282,2
"4003","Raphael's School of Beauty Culture Inc-Brunswick",57,0
"4004","Caribbean University-Ponce",938,0
"4005","Caribbean University-Vega Baja",279,0
"4006","University of Advancing Technology",789,3
"4007","Paradise Valley Community College",8447,6
"4008","Chandler-Gilbert Community College",14906,12
"4009","HSHS St. John's Hospital School of Clinical Laboratory Science",6,4
"4010","Madison Media Institute",111,0
"4011","Great Plains Technology Center",209,0
"4012","Roane-Jackson Technical Center",37,0
"4013","Pioneer Technology Center",472,0
"4014","Portage Lakes Career Center",107,0
"4015","Eastern College of Health Vocations-New Orleans",57,0
"4016","Bell Mar Beauty College",82,0
"4017","Caddo Kiowa Technology Center",416,0
"4018","Brightwood College-San Antonio-San Pedro",376,0
"4019","Center for Instruction Technology & Innovation (CiTi)",57,0
"4020","International School of Skin Nailcare & Massage Therapy",330,0
"4021","Palomar Institute of Cosmetology",114,0
"4022","Southern Oklahoma Technology Center",656,0
"4023","Vista College",4701,2
"4024","Autry Technology Center",722,0
"4025","Greene County Vocational School District",28,0
"4026","Canadian Valley Technology Center",1226,0
"4027","Wilkes-Barre Area Career and Technical Center Practical Nursing",110,0
"4028","Mayo Clinic Graduate School of Biomedical Sciences",267,2
"4029","Meridian Technology Center",846,0
"4030","Waynesville Career Center",43,0
"4031","Capitol School of Hairstyling and Esthetics",124,0
"4032","Morris County Vocational School District",50,0
"4033","Ross Medical Education Center-Roosevelt Park",147,1
"4034","Ross Medical Education Center-Kentwood",150,0
"4035","South Florida Bible College and Theological Seminary",382,0
"4036","Cloyd's Barber School 2 Inc",21,0
"4037","Universal Technical Institute of Illinois Inc",1077,0
"4038","Pennsylvania College of Technology",5457,8
"4039","Commonwealth Institute of Funeral Service",215,0
"4040","Delta College of Arts & Technology",263,0
"4041","InterCoast Colleges-Anaheim",285,0
"4042","Stone Child College",554,1
"4043","New York Academy of Art",119,0
"4044","Suffolk County Community College",26756,1
"4045","Las Positas College",8989,7
"4046","Blades School of Hair Design",72,0
"4047","Ogeechee Technical College",1984,0
"4048","Remington College-Mobile Campus",373,0
"4049","Southern Technical College",887,0
"4050","Mercy-St Luke's School of Radiologic Technology",22,1
"4051","Southwest Acupuncture College-Santa Fe",37,0
"4052","Northwest Technology Center-Alva",124,0
"4053","Mercer County Career Center",31,0
"4054","California State University-San Marcos",15755,10
"4055","Argosy University-Hawaii",879,0
"4056","Baptist Theological Seminary at Richmond",70,0
"4057","Brightwood College-Modesto",364,0
"4058","Kaplan University-Des Moines Campus",760,0
"4059","Hairmasters Institute of Cosmetology",104,0
"4060","Tricoci University of Beauty Cuture LLC-Bloomington",68,0
"4061","Interactive College of Technology-Newport",66,0
"4062","McCann School of Business & Technology",591,0
"4063","Ross Medical Education Center-Taylor",66,0
"4064","National Tractor Trailer School Inc-Liverpool",61,0
"4065","Interactive College of Technology",26,0
"4066","Butler Beauty Academy-New Castle Beauty Academy",17,0
"4067","NorthWest Arkansas Community College",7715,2
"4068","Brewster Technical College",254,0
"4069","Hodges University",1313,0
"4070","Argosy University-Atlanta",1329,0
"4071","University of St. Augustine for Health Sciences",2992,0
"4072","Capital Area School of Practical Nursing",135,0
"4073","Hair Professionals Career College",69,0
"4074","Alexandria School of Scientific Therapeutics",33,0
"4075","Empire Beauty School-Bloomfield",149,0
"4076","Southwest Technology Center",393,0
"4077","Western Area Career & Technology Center",106,0
"4078","Daymar College-Clarksville",1025,0
"4079","Nossi College of Art",253,0
"4080","Seguin Beauty School-New Braunfels",26,0
"4081","Pima Medical Institute-Seattle",630,0
"4082","Mineral County Vocational Technical Center",25,0
"4083","Hypnosis Motivation Institute",157,0
"4084","Los Angeles ORT College-Los Angeles Campus",164,0
"4085","Thanh Le College School of Cosmetology",42,0
"4086","Southeastern Technical College",1713,1
"4087","Massachusetts School of Law",326,1
"4088","Community Services Division-Alliance City",84,1
"4089","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando",2236,5
"4090","Erwin Technical College",1015,2
"4091","Rosel School of Cosmetology",43,0
"4092","Worsham College of Mortuary Science",87,0
"4093","Bryan University",296,0
"4094","Oregon College of Oriental Medicine",260,0
"4095","Central Pennsylvania Institute of Science and Technology",255,0
"4096","Northwest Educational Center",234,0
"4097","Sebring Career Schools-Houston",130,0
"4098","PCI Health Training Center",378,0
"4099","Bryant & Stratton College-Eastlake",238,0
"4100","Hamrick School",117,0
"4101","Alabama State College of Barber Styling",13,0
"4102","Fortis College",375,0
"4103","Downey Adult School",838,1
"4104","CRU Institute of Cosmetology and Barbering",53,0
"4105","Modern Technology School",104,0
"4106","National Career Education",461,0
"4107","North-West College-Glendale",131,0
"4108","Fremont College",182,1
"4109","Pomona Unified School District Adult and Career Education",108,0
"4110","Universal College of Beauty Inc-Los Angeles 2",26,0
"4111","IBMC College",359,6
"4112","Xenon International Academy-Denver",58,0
"4113","Academy of Cosmetology",124,0
"4114","Sunstate Academy",290,0
"4115","Fortis College-Smyrna",585,3
"4116","Remington College-Honolulu Campus",287,0
"4117","Ross College-Quad Cities",73,0
"4118","Pivot Point Academy",71,0
"4119","Blalock's Professional Beauty College",12,0
"4120","Diesel Driving Academy-Baton Rouge",212,0
"4121","New England Hair Academy",180,0
"4122","Rob Roy Academy-Worcester",123,0
"4123","Upper Cape Cod Regional Technical School",87,0
"4124","All-State Career-Baltimore",561,0
"4125","Adler Graduate School",317,0
"4126","Academy of Hair Design-Jackson",57,0
"4127","KC's School of Hair Design",45,0
"4128","Lincoln Technical Institute-Moorestown",528,0
"4129","Monmouth County Vocational School District",59,0
"4130","Brightwood College-Las Vegas",670,0
"4131","Beauty School of Middletown",56,0
"4132","Bryant & Stratton College-Southtowns",418,0
"4133","Continental School of Beauty Culture-Olean",56,0
"4134","National Tractor Trailer School Inc-Buffalo",91,0
"4135","Yeshiva Gedolah Imrei Yosef D'spinka",105,0
"4136","Knox County Career Center",172,0
"4137","Madison Adult Career Center",124,0
"4138","Remington College-Cleveland Campus",670,0
"4139","Toledo Academy of Beauty Culture-East",91,0
"4140","U S Grant Joint Vocational School",33,2
"4141","Chisholm Trail Technology Center",140,0
"4142","Gordon Cooper Technology Center",754,0
"4143","Kiamichi Technology Center-Atoka",207,0
"4144","Kiamichi Technology Center-Durant",27,0
"4145","Kiamichi Technology Center-Hugo",55,0
"4146","Kiamichi Technology Center-McAlester",523,0
"4147","Kiamichi Technology Center-Idabel",49,0
"4148","Kiamichi Technology Center-Poteau",295,0
"4149","Kiamichi Technology Center-Spiro",43,0
"4150","Kiamichi Technology Centers-Talihina Campus",125,0
"4151","YTI Career Institute-Altoona",172,0
"4152","Eastern Center for Arts and Technology",59,0
"4153","Empire Beauty School-Center City Philadelphia",317,0
"4154","CEM College-Humacao",370,0
"4155","Colegio Mayor de Tecnologia Inc",62,0
"4156","Institucion Chaviano de Mayaguez",90,0
"4157","EDIC College",2378,1
"4158","Liceo de Arte-Dise-O y Comercio",197,0
"4159","Universal Technology College of Puerto Rico",285,0
"4160","Academy of Hair Technology",87,0
"4161","Mr Wayne's School of Unisex Hair Design",56,0
"4162","Queen City College",105,0
"4163","College of the Marshall Islands",1032,6
"4164","Remington College-Fort Worth Campus",558,0
"4165","UCAS University of Cosmetology Arts & Sciences",26,0
"4166","School of Automotive Machinists & Technology",163,0
"4167","SW School of Business and Technical Careers-Cosmetology",20,0
"4168","SW School of Business and Technical Careers",50,0
"4169","Texas College of Cosmetology-Abilene",73,0
"4170","Centura College-Newport News",179,0
"4171","Centura College-Norfolk",193,0
"4172","Virginia Beach City Public Schools School of Practical Nursing",54,0
"4173","Northwest College of Art & Design",85,0
"4174","University of Washington-Bothell Campus",5981,3
"4175","University of Washington-Tacoma Campus",5162,4
"4176","Valley College-Beckley",130,0
"4177","Valley College-Martinsburg",437,0
"4178","Valley College-Princeton",104,0
"4179","Bellus Academy-Poway",387,3
"4180","Capstone College",25,0
"4181","Central Coast College",181,1
"4182","Pacific College of Oriental Medicine-San Diego",941,0
"4183","Artistic Nails and Beauty Academy-Tampa",139,0
"4184","National Aviation Academy of Tampa Bay",680,0
"4185","Madison Oneida BOCES-Practical Nursing Program",42,1
"4186","Astrodome Career Centers",82,6
"4187","Center for Advanced Legal Studies",219,0
"4188","Houston Training School-Main Campus",93,0
"4189","Bay Mills Community College",448,0
"4190","Fond du Lac Tribal and Community College",1946,0
"4191","Northwest Indian College",544,1
"4192","Provo College",502,0
"4193","Paul Mitchell the School-Provo",125,0
"4194","University of Phoenix-Utah",332,0
"4195","Utah College of Massage Therapy-Salt Lake City",175,0
"4196","CET-Coachella",102,0
"4197","CET-Oxnard",117,0
"4198","CET-Santa Maria",137,0
"4199","Colorado School of Traditional Chinese Medicine",100,0
"4200","Massage Therapy Institute of Colorado",55,0
"4201","Michigan College of Beauty-Troy",318,0
"4202","Ogle School Hair Skin Nails-Dallas",288,0
"4203","Phoenix Seminary",217,0
"4204","Faust Institute of Cosmetology-Spirit Lake",11,0
"4205","Cheeks International Academy of Beauty Culture-Fort Collins",30,0
"4206","Colorado School of Healing Arts",97,2
"4207","Healing Arts Institute",54,0
"4208","Los Angeles ORT College-Van Nuys Campus",291,0
"4209","University of Phoenix-Puerto Rico",67,0
"4210","Mt. Diablo Adult Education-Mt. Diablo USD",140,2
"4211","Royale College of Beauty and Barbering",72,0
"4212","Greater Lowell Technical School",79,0
"4213","Academy of Hair Design-Pearl",52,0
"4214","King's College",314,6
"4215","Genesis Career College-Lebanon",112,0
"4216","Brightwood College-Dallas",300,0
"4217","Star College of Cosmetology 2",60,0
"4218","Southwest Collegiate Institute for the Deaf",92,1
"4219","Fortis College-Richmond",404,0
"4220","Midwest College of Oriental Medicine-Racine",55,0
"4221","Hacienda La Puente Adult Education",4020,1
"4222","La Belle Beauty Academy",365,0
"4223","Hawaii Community College",2819,7
"4224","Robert Fiance Beauty Schools-North Plainfield",156,0
"4225","Long Island Beauty School-Hauppauge",198,0
"4226","Buckeye Joint Vocational School",102,0
"4227","Sandusky Career Center",82,0
"4228","Greater Altoona Career & Technology Center",234,0
"4229","Central Texas Beauty College-Temple",143,0
"4230","Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program",131,0
"4231","Empire Beauty School-Brooklyn",126,0
"4232","Houston Training School-Gulfgate",129,1
"4233","Antonelli College-Hattiesburg",192,0
"4234","Eastern New Mexico University-Ruidoso Campus",610,0
"4235","United Education Institute-Ontario",410,2
"4236","United Education Institute-Encino",623,0
"4237","Beacon College",348,1
"4238","Acupuncture and Integrative Medicine College-Berkeley",81,0
"4239","Estrella Mountain Community College",9788,2
"4240","Heartland Community College",5193,1
"4241","University of the Potomac-Washington DC Campus",90,0
"4242","Rabbi Jacob Joseph School",86,0
"4243","The Salon Professional Academy-Melbourne",73,0
"4244","Fortis Institute-Scranton",287,0
"4245","Milan Institute of Cosmetology-Amarillo",64,0
"4246","Everglades University",2444,1
