"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"Alaska Bible College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","9300","9300","www.akbible.edu/","Far West","AK","Palmer","Town","Private nonprofit","Bachelor's degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Alaska Career College","NULL","NULL","NULL","0.8221153846","0.2291666667","NULL","NULL","www.alaskacareercollege.edu","Far West","AK","Anchorage","City","Private for profit","Associate degree","Rank over 230",3.69,"32000","30300","40300","0.612",1
"Alaska Christian College","NULL","NULL","NULL","0.5604395604","PrivacySuppressed","7614","7614","www.alaskacc.edu","Far West","AK","Soldotna","Rural","Private nonprofit","Associate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Alaska Pacific University","0.5506","NULL","NULL","0.6301369863","0.1575342466","20310","20310","www.alaskapacific.edu","Far West","AK","Anchorage","City","Private nonprofit","Graduate degree","Rank over 230",2.88,"45300","39100","56300","0.719",1
"Albany BOCES-Adult Practical Nursing Program","NULL","NULL","NULL","0.9071729958","0.1518987342","NULL","NULL","www.capitalregionboces.org/CareerTech/AdultEd/apn.cfm","Mid East","NY","Albany","Suburb","Public","Certificate degree","Rank over 230",1.97,"42300","PrivacySuppressed","PrivacySuppressed","0.673",0
"Albany College of Pharmacy and Health Sciences","0.6917","25","1141","0.6031746032","PrivacySuppressed","31981","31981","www.acphs.edu","Mid East","NY","Albany","City","Private nonprofit","Graduate degree","Rank over 230",1.64,"114200","110100","119100","0.948",3
"Albany Law School","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.albanylaw.edu","Mid East","NY","Albany","City","Private nonprofit","Graduate degree","Rank over 230",2.03,"95300","82300","110200","0.87",0
"Albany Medical College","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.amc.edu","Mid East","NY","Albany","City","Private nonprofit","Graduate degree","Rank over 230",1.78,"185100","PrivacySuppressed","PrivacySuppressed","0.941",11
"Albany State University","0.4967","19","899","0.6648385131","0.0773918342","5490","15738","https://www.asurams.edu/","Southeast","GA","Albany","City","Public","Graduate degree","Rank over 230",2.74,"34600","33900","35700","0.653",26
"Albany Technical College","NULL","NULL","NULL","0.6296992481","0.1311090226","2654","4794","www.albanytech.edu","Southeast","GA","Albany","City","Public","Associate degree","Rank over 230",3.77,"25200","21800","31000","0.4",0
"Albert I Prince Technical High School","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.cttech.org/prince/","New England","CT","Hartford","City","Public","Certificate degree","Rank over 230",4.06,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA
"Albertus Magnus College","NULL","NULL","NULL","0.694684796","0.129789864","30526","30526","www.albertus.edu","New England","CT","New Haven","City","Private nonprofit","Graduate degree","Rank over 230",2.52,"56000","53000","63800","0.794",16
"Albion College","0.7226","23","1067","0.4957627119","PrivacySuppressed","41040","41040","www.albion.edu","Great Lakes","MI","Albion","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.27,"55700","47300","65600","0.84",16
"Albright College","0.5111","NULL","NULL","0.6258879242","0.0599842147","41544","41544","www.albright.edu","Mid East","PA","Reading","City","Private nonprofit","Graduate degree","Rank over 230",1.2,"51400","44800","61500","0.811",25
"Alcorn State University","0.7844","19","892","0.621548457","0.0205739036","6546","6546","www.alcorn.edu","Southeast","MS","Alcorn State","Rural","Public","Graduate degree","Rank over 230",3.63,"35000","35000","35100","0.592",10
"Alderson Broaddus University","0.4138","21","963","0.4316770186","0.0357142857","25350","25350","www.ab.edu/","Southeast","WV","Philippi","Town","Private nonprofit","Graduate degree","Rank over 230",2.01,"47000","44100","53500","0.719",10
"Alexander Academy","NULL","NULL","NULL","0.5764705882","PrivacySuppressed","NULL","NULL","www.alexanderacademy.com","New England","MA","Lunenburg","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Alexander Paul Institute of Hair Design","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.alexanderpaul.edu","Southeast","NC","Greenville","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"Alexandria School of Scientific Therapeutics","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.assti.com","Great Lakes","IN","Alexandria","Suburb","Private for profit","Certificate degree","Rank over 230",1.54,"26600","PrivacySuppressed","PrivacySuppressed","0.394",0
"Alexandria Technical & Community College","NULL","NULL","NULL","0.4541062802","0.0925925926","5358","5358","www.alextech.edu","Plains","MN","Alexandria","Town","Public","Associate degree","Rank over 230",0.94,"40200","28700","48500","0.731",2
"Alfred University","0.6279","23","1038","0.4638826185","PrivacySuppressed","27078","27078","www.alfred.edu","Mid East","NY","Alfred","Town","Private nonprofit","Graduate degree","Rank over 230",1.85,"47300","38500","55400","0.705",7
"Alhambra Beauty College","NULL","NULL","NULL","0.8647058824","0.3647058824","NULL","NULL","alhambrabeauty.edu/","Far West","CA","Alhambra","Suburb","Private for profit","Certificate degree","Rank over 230",2.04,"19900","PrivacySuppressed","PrivacySuppressed","0.371",0
"Alhambra Medical University","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.amu.edu","Far West","CA","Alhambra","Suburb","Private for profit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Alice Lloyd College","0.2219","22","1010","0.5726495726","PrivacySuppressed","11550","11550","www.alc.edu","Southeast","KY","Pippa Passes","Rural","Private nonprofit","Bachelor's degree","Rank over 230",2.72,"41600","38800","45100","0.662",0
"All Beauty College","NULL","NULL","NULL","PrivacySuppressed","0.2727272727","NULL","NULL","www.allbeautycollege.com","Southwest","AZ","Fort Mohave","Town","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",2
"All Beauty College","NULL","NULL","NULL","PrivacySuppressed","0.2727272727","NULL","NULL","www.allbeautycollege.com","Southwest","AZ","Lake Havasu City","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",2
"All Beauty College","NULL","NULL","NULL","PrivacySuppressed","0.2727272727","NULL","NULL","www.allbeautycollege.com","Southwest","AZ","Kingman","Town","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",2
"All-State Career School-Allied Health Campus","NULL","NULL","NULL","0.2872044506","0.111961057","15732","15732","www.allstatecareer.edu","Mid East","PA","Essington","Suburb","Private for profit","Associate degree","Rank over 230",5.58,"41400","33800","42000","0.62",0
"All-State Career School-Lester","NULL","NULL","NULL","0.2872044506","0.111961057","NULL","NULL","www.allstatecareer.edu","Mid East","PA","Lester","Suburb","Private for profit","Certificate degree","Rank over 230",3.96,"41400","33800","42000","0.62",0
"All-State Career School-Pittsburgh","NULL","NULL","NULL","0.433640553","0.1460829493","NULL","NULL","www.allstatecareer.edu/pitt.php","Mid East","PA","West Mifflin","Suburb","Private for profit","Certificate degree","Rank over 230",2.04,"37300","28200","41600","0.671",0
"All-State Career-Baltimore","NULL","NULL","NULL","0.433640553","0.1460829493","NULL","NULL","www.allstatecareer.edu","Mid East","MD","Baltimore","City","Private for profit","Certificate degree","Rank over 230",3.03,"37300","28200","41600","0.671",0
"Allan Hancock College","NULL","NULL","NULL","0.5370032811","0.1009843237","1346","6750","www.hancockcollege.edu/","Far West","CA","Santa Maria","City","Public","Associate degree","Rank over 230",2.76,"35500","32000","41400","0.587",1
"Allegany College of Maryland","NULL","NULL","NULL","0.6172069825","0.11159601","3750","8340","www.allegany.edu","Mid East","MD","Cumberland","City","Public","Associate degree","Rank over 230",1.96,"33200","31400","37200","0.581",15
"Allegheny College","0.6776","NULL","NULL","0.5290482077","PrivacySuppressed","44250","44250","www.allegheny.edu","Mid East","PA","Meadville","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.21,"56800","51300","61900","0.841",12
"Allegheny Wesleyan College","NULL","NULL","NULL","0.59375","PrivacySuppressed","5000","5000","awc.edu","Great Lakes","OH","Salem","Rural","Private nonprofit","Bachelor's degree","Rank over 230",1.67,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Allen College","0","NULL","NULL","0.8846153846","0.1230769231","17769","17769","www.allencollege.edu","Plains","IA","Waterloo","City","Private nonprofit","Graduate degree","Rank over 230",0.87,"52800","PrivacySuppressed","PrivacySuppressed","0.864",0
"Allen County Community College","NULL","NULL","NULL","0.6336866902","0.1295641932","2850","2850","www.allencc.edu","Plains","KS","Iola","Town","Public","Associate degree","Rank over 230",0.9,"34900","30800","41300","0.635",3
"Allen School-Brooklyn","NULL","NULL","NULL","0.9102407181","0.2443900449","NULL","NULL","www.allenschool.edu","Mid East","NY","Brooklyn","City","Private for profit","Certificate degree","Rank over 230",4.51,"31500","31100","36600","0.601",0
"Allen School-Jamaica","NULL","NULL","NULL","0.9102407181","0.2443900449","NULL","NULL","www.allenschool.edu","Mid East","NY","Jamaica","City","Private for profit","Certificate degree","Rank over 230",4.51,"31500","31100","36600","0.601",0
"Allen School-Phoenix","NULL","NULL","NULL","0.9102407181","0.2443900449","NULL","NULL","www.allenschool.edu","Southwest","AZ","Phoenix","City","Private for profit","Certificate degree","Rank over 230",5.58,"31500","31100","36600","0.601",0
"Allen University","NULL","NULL","NULL","0.5","PrivacySuppressed","13140","13140","www.allenuniversity.edu/","Southeast","SC","Columbia","City","Private nonprofit","Bachelor's degree","Rank over 230",2.98,"26400","23800","27500","0.426",1
"Alliance Computing Solutions","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.acs.edu","Mid East","NY","Flushing","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Alliant International University-San Diego","0.8571","NULL","NULL","0.6993670886","0.2784810127","17312","17312","www.alliant.edu","Far West","CA","San Diego","City","Private for profit","Graduate degree","Rank over 230",1.99,"65200","64800","66400","0.806",3
"Allstate Hairstyling & Barber College","NULL","NULL","NULL","0.25","PrivacySuppressed","NULL","NULL","www.allstatehairstyling.com","Great Lakes","OH","Cleveland","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Alma College","0.6795","24","1087","0.5534682081","0.0158959538","37310","37310","alma.edu","Great Lakes","MI","Alma","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.64,"46500","42800","51900","0.804",9
"Alpena Community College","NULL","NULL","NULL","0.4714475432","0.0982735724","4290","6450","www.alpenacc.edu","Great Lakes","MI","Alpena","Rural","Public","Associate degree","Rank over 230",2.72,"35900","28600","43700","0.551",0
"Altierus Career College Everett","NULL","NULL","NULL","0.863514719","0.2631578947","11274","11274","https://www.altierus.org/campus/everett","Far West","WA","Everett","City","Private nonprofit","Associate degree","Rank over 230",2.5,"30300","29600","37400","0.586",NA
"Altierus Career College-Arlington","NULL","NULL","NULL","0.6252319109","0.1966604824","11274","11274","https://www.altierus.org/campus/mid-cities","Southwest","TX","Arlington","City","Private nonprofit","Associate degree","Rank over 230",2.96,"25400","24300","29200","0.464",NA
"Altierus Career College-Atlanta West","NULL","NULL","NULL","0.7763885549","0.1423419091","NULL","NULL","https://www.altierus.org/campus/atlanta-west","Southeast","GA","Atlanta","City","Private nonprofit","Certificate degree","Rank over 230",5.58,"29500","28300","34900","0.571",NA
"Altierus Career College-Austin","NULL","NULL","NULL","0.7763885549","0.1423419091","NULL","NULL","https://www.altierus.org/campus/austin","Southwest","TX","Austin","City","Private nonprofit","Certificate degree","Rank over 230",3.36,"24000","23100","28500","0.404",NA
"Altierus Career College-Bissonnet","NULL","NULL","NULL","0.7763885549","0.1423419091","NULL","NULL","https://www.altierus.org/campus/houston-bissonnet","Southwest","TX","Houston","City","Private nonprofit","Certificate degree","Rank over 230",1.97,"31200","30100","39100","0.6",8
"Altierus Career College-Chesapeake","NULL","NULL","NULL","0.6924829157","0.2482915718","10407","10407","https://www.altierus.org/campus/chesapeake","Southeast","VA","Chesapeake","Suburb","Private nonprofit","Associate degree","Rank over 230",1.87,"23200","22500","27900","0.415",NA
"Altierus Career College-Colorado Springs","NULL","NULL","NULL","0.852367688","0.2423398329","12015","12015","https://www.altierus.org/campus/colorado-springs","Rocky Mountains","CO","Colorado Springs","City","Private nonprofit","Associate degree","Rank over 230",1.55,"26300","25400","29400","0.471",NA
"Altierus Career College-Columbus","NULL","NULL","NULL","0.7763885549","0.1423419091","NULL","NULL","https://www.altierus.org/campus/columbus","Great Lakes","OH","Gahanna","Suburb","Private nonprofit","Certificate degree","Rank over 230",2.18,"26500","24900","36000","0.475",NA
"Altierus Career College-Fort Worth South","NULL","NULL","NULL","0.852367688","0.2423398329","12510","12510","https://www.altierus.org/campus/fort-worth-south","Southwest","TX","Ft Worth","City","Private nonprofit","Associate degree","Rank over 230",5.58,"26300","25400","29400","0.471",NA
"Altierus Career College-Henderson","NULL","NULL","NULL","0.7157584683","0.2017673049","12510","12510","https://www.altierus.org/campus/henderson","Far West","NV","Henderson","City","Private nonprofit","Associate degree","Rank over 230",2.28,"29300","28100","33900","0.504",0
"Altierus Career College-Houston Hobby","NULL","NULL","NULL","0.785150079","0.182464455","NULL","NULL","https://www.altierus.org/campus/houston-hobby","Southwest","TX","Houston","City","Private nonprofit","Certificate degree","Rank over 230",2.65,"26400","24000","33500","0.464",NA
"Altierus Career College-Norcross","NULL","NULL","NULL","0.7763885549","0.1423419091","7812","7812","https://www.altierus.org/campus/norcross","Southeast","GA","Norcross","Suburb","Private nonprofit","Associate degree","Rank over 230",2.81,"25600","24600","32900","0.484",0
"Altierus Career College-Orange Park","NULL","NULL","NULL","0.7128987517","0.2007628294","12879","12879","https://www.altierus.org/campus/orange-park","Southeast","FL","Orange Park","Suburb","Private nonprofit","Bachelor's degree","Rank over 230",1.7,"29500","26900","35900","0.543",NA
"Altierus Career College-San Antonio","NULL","NULL","NULL","0.785150079","0.182464455","NULL","NULL","https://www.altierus.org/campus/san-antonio","Southwest","TX","San Antonio","City","Private nonprofit","Certificate degree","Rank over 230",2.65,"26400","24000","33500","0.464",NA
"Altierus Career College-Tacoma","NULL","NULL","NULL","0.863514719","0.2631578947","11274","11274","https://www.altierus.org/campus/tacoma","Far West","WA","Tacoma","City","Private nonprofit","Associate degree","Rank over 230",2.5,"30300","29600","37400","0.586",NA
"Altierus Career College-Tampa","NULL","NULL","NULL","0.7128987517","0.2007628294","12879","12879","https://www.altierus.org/campus/tampa","Southeast","FL","Tampa","City","Private nonprofit","Graduate degree","Rank over 230",1.7,"29500","26900","35900","0.543",0
"Altierus Career College-Thornton","NULL","NULL","NULL","0.8739495798","0.231092437","12510","12510","https://www.altierus.org/campus/thornton","Rocky Mountains","CO","Thornton","Suburb","Private nonprofit","Associate degree","Rank over 230",2.08,"29400","27900","34200","0.537",0
